Primary Type,arrest_rate
GAMBLING,0.9973736047275115
NARCOTICS,0.9926145168721292
PROSTITUTION,0.9914364640883978
LIQUOR LAW VIOLATION,0.9838116261957321
PUBLIC INDECENCY,0.9732142857142857
CONCEALED CARRY LICENSE VIOLATION,0.9669811320754716
INTERFERENCE WITH PUBLIC OFFICER,0.9339859888629424
OBSCENITY,0.6880466472303207
WEAPONS VIOLATION,0.6700459220667615
PUBLIC PEACE VIOLATION,0.6350812451639783
OTHER NARCOTIC VIOLATION,0.5774647887323944
CRIMINAL TRESPASS,0.4972844987051424
HOMICIDE,0.3996804686459859
NON-CRIMINAL,0.34615384615384615
OTHER OFFENSE,0.1957005991729145
